start_date,end_date,duration_hours,duration_minutes,war_id,faction_id,faction_name,won,score,total_war_score,attacks,rank_before,rank_after,member_count,participating_member_count,reward_respect,reward_points,Small Arms Cache,Armor Cache,Melee Cache,Medium Arms Cache,Heavy Arms Cache,forfeit,score_pct_of_war_total,faction_total_wins,faction_total_wars,faction_win_percentage,rank_number_before,rank_number_after,total_cache_value
2025-03-20 08:00:00,2025-03-23 23:47:16,87.79,5267.0,23578,53406,Red Dwarf,True,2113,3578,551,Unranked,Bronze I,13,9,1477,0,0.0,0.0,0.0,0.0,1.0,False,0.591,3,4,0.75,0,2,370.0
2025-03-06 15:00:00,2025-03-07 13:26:59,22.45,1347.0,23018,36134,SMTH - Silver Hand,True,17642,20683,1723,Platinum I,Platinum II,97,64,16022,5287,3.0,9.0,3.0,3.0,0.0,False,0.853,11,22,0.5,14,15,4083.0
2025-03-06 15:00:00,2025-03-07 13:26:59,22.45,1347.0,23018,40775,WarDogs HQ,False,3041,20683,370,Platinum II,Platinum I,79,38,3423,1130,0.0,2.0,0.0,1.0,0.0,False,0.147,3,6,0.5,15,14,808.0
2025-01-24 21:00:00,2025-01-27 13:51:32,64.86,3892.0,21408,50899,The Revenant Retired,True,2856,4532,793,Bronze II,Bronze III,16,14,1786,589,0.0,1.0,1.0,0.0,0.0,False,0.63,3,10,0.3,3,4,442.0
2025-01-24 21:00:00,2025-01-27 13:51:32,64.86,3892.0,21408,50951,The Gambino Family,False,1676,4532,407,Bronze II,Bronze I,16,5,961,317,2.0,0.0,0.0,0.0,0.0,False,0.37,7,15,0.4666666666666667,3,2,222.0
2025-01-10 12:00:00,2025-01-12 07:25:59,43.43,2606.0,20838,51433,Downtown Syndicate,True,2937,4190,564,Bronze III,Silver I,19,15,2035,0,0.0,1.0,1.0,0.0,0.0,False,0.701,4,7,0.5714285714285714,4,6,442.0
2025-01-10 12:00:00,2025-01-12 07:25:59,43.43,2606.0,20838,51754,Outlaws HQ II,False,1253,4190,227,Bronze III,Bronze II,13,10,858,283,2.0,0.0,0.0,0.0,0.0,False,0.299,9,19,0.47368421052631576,4,3,222.0
2025-04-10 19:00:00,2025-04-12 08:00:55,37.02,2221.0,24198,21040,Monarch Vanguard,False,3221,14741,587,Platinum I,Platinum,55,44,4524,1493,2.0,2.0,1.0,1.0,0.0,False,0.219,9,19,0.47368421052631576,14,13,1163.0
2025-04-10 19:00:00,2025-04-12 08:00:55,37.02,2221.0,24198,34623,Viking Emus,True,11520,14741,1211,Platinum,Platinum I,53,41,8428,2781,0.0,5.0,1.0,1.0,1.0,False,0.781,5,15,0.3333333333333333,13,14,2238.0
2025-01-31 19:00:00,2025-02-03 18:12:24,71.21,4272.0,21719,52185,The Black Riders,True,3021,4581,692,Silver,Silver I,14,9,2378,0,1.0,0.0,0.0,2.0,0.0,False,0.659,4,9,0.4444444444444444,5,6,491.0
